basis,n_trials,rate,ci_lower,ci_upper,ci_width
Phase,100,1.0,0.9630065017930143,1.0,0.03699349820698567
Phase,200,1.0,0.9811546736227335,1.0,0.01884532637726657
Phase,500,1.0,0.9923756595384479,1.0,0.00762434046155224
Phase,1000,1.0,0.996173241514445,1.0,0.0038267584855551234
Phase,2000,1.0,0.9980829527187469,0.9999999999999998,0.001917047281252934
Phase,5000,1.0,0.9992322980549431,1.0,0.0007677019450571244
Phase,10000,1.0,0.9996160016293234,1.0,0.00038399837067659573
