n,basis,construction_time_ms,construction_std_ms,evaluation_time_ms,evaluation_std_ms
4,Cycle,0.08347926674711441,0.08213804368478517,0.008229833262400158,0.009803320672744205
4,Phase,0.24347553341309927,0.09063628749997348,0.009589833340821011,0.009061519771737647
4,Walsh,0.08144150003014754,0.020093606108533262,0.008348066633819448,0.010523291124173986
8,Cycle,0.15938773328040648,0.0894014377098976,0.018771566707679693,0.03469545504824377
8,Phase,0.3086470666554912,0.19890065779830843,0.009709533211813929,0.007688218876614591
8,Walsh,0.11125906667075469,0.05418777434168067,0.017336733405196963,0.03178737906609416
16,Cycle,0.1272183665605553,0.042993097333883505,0.01506609996795305,0.020171744303909018
16,Phase,0.7106353999612717,0.1321571782120247,0.010687999989992628,0.005819948202826618
16,Walsh,0.10749086665479506,0.024388289947515157,0.010824700014685126,0.005518646692325003
32,Cycle,0.2301773999230742,0.01485945280883299,0.018133900054332724,0.006449555281329704
32,Phase,2.36884006665908,0.2369401820125492,0.027053066666364128,0.012318257810098444
32,Walsh,0.13516626659111353,0.040355775781284804,0.01986326672825574,0.008444920826792005
64,Cycle,0.5454831333130036,0.07550474095334196,0.057538433247827925,0.012883229128773375
64,Phase,8.972900566762595,1.1063145564560013,0.05859193333890289,0.015173168152808638
64,Walsh,0.1771836333015623,0.05859278930740433,0.11468586665917731,0.14753057284069693
128,Cycle,1.4627790332876127,0.2984983965471504,0.34701806665301166,0.04801638337323426
128,Phase,44.01124936669779,7.06725672421378,0.40574786653451156,0.0928270498686252
128,Walsh,0.3722866666673023,0.08806795937028591,0.38358156674197136,0.08109099849849112
