basis,count,mean,std,max
Cycle,98,1.4596106937365723e-15,1.6850649692283407e-15,8.223764242322142e-15
Paley,13,1.3664283380001927e-16,1.0289643537179076e-16,2.220446049250313e-16
Phase,98,1.5238639229087052e-14,1.1567408237442186e-14,4.7564474266403746e-14
Walsh,5,8.881784197001253e-17,1.2161883888976234e-16,2.220446049250313e-16
